timestamp,name,price,cbd_potency,tch_potency,strain,brand,effect,quantity
2023/01/14 21:47:07,Infused Preroll-Indica.8g,25,None,48.97,INDICA,Green Gold Group,"RELAXED,SLEEPY,HAPPY",5
2023/01/14 21:47:07,Blunts 4pk-LA Kush Cake 0.5g,48,0.1,23.4,INDICA,Southie Adams,"RELAXED,SLEEPY,HAPPY",18
2023/01/14 21:47:07,Infused Pre-roll-Hazelnut Cream #11 Blunt 1g,30,None,36,SATIVA,Papi Sweet Sluggers,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",22
2023/01/14 21:47:07,Blunt-Runtz 3x1g 3g,45,0.08,24.1,HYBRID,Papi Sweet Sluggers,"CALM,HAPPY,RELAXED,ENERGETIC",7
2023/01/14 21:47:07,Blunt-GMO 1g,18,0.1,26,HYBRID,Papi Sweet Sluggers,"CALM,HAPPY,RELAXED,ENERGETIC",11
2023/01/14 21:47:07,Preroll-Colorado Chem .5g 5pk,35,None,23.91,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",4
2023/01/14 21:47:07,Nature's Heritage | The Big Smooth | Pre-roll -  .5g (5pk),35,None,28.28,NOT_APPLICABLE,Nature's Heritage,"RELAXED,SLEEPY,HAPPY",13
2023/01/14 21:47:07,Pre-Roll-Forbidden Zkittlez 5pk .5g each,35,None,22.03,HYBRID,Nature's Heritage,"RELAXED,SLEEPY,HAPPY",12
2023/01/14 21:47:07,Infused Preroll w/Bubble Hash-Double Krush .5g 2pk,35,None,36.9,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",12
2023/01/14 21:47:07,Preroll-Gelato 1g,10,None,22.7,HYBRID,Solar,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:07,Pre-Roll- Doob Cube Variety Pack 14g,65,None,,HYBRID,No. 9,"CALM,HAPPY,RELAXED,ENERGETIC",6
2023/01/14 21:47:07,Pre-Roll-Night Terror OG 1g,16,None,18.76,INDICA,Mayflower,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:07,Blunts-LA Kush Cake 1g Gold Single,20,0.1,28.1,INDICA,Southie Adams,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:07,Infused Pre-Roll-Crescendo x Dosi Woah 5pk .5g each,60,None,31.77,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",4
2023/01/14 21:47:07,Pre-Roll-Ghost Train Haze 1g,14,None,27.96,SATIVA,Mayflower,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",25
2023/01/14 21:47:07,Snowball | 5pk Infused Pre-Roll | .5g each,50,None,35.08,HYBRID,Nature's Heritage,"RELAXED,SLEEPY,CALM",24
2023/01/14 21:47:07,Pre-Roll-Motorbreath #15 Blunt 1g 3 pack,50,None,32.17,HYBRID,Papi Sweet Sluggers,"CALM,HAPPY,RELAXED,ENERGETIC",13
2023/01/14 21:47:07,Pre-Roll-Rawtton 4pk Blunt .5g each,48,0.06,21.7,HYBRID,Southie Adams,"CALM,HAPPY,RELAXED,ENERGETIC",1
2023/01/14 21:47:07,Preroll-G-13 1g,12,None,22.59,HYBRID,Green Gold Group,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:07,Pre-Roll-Wonka Bars 1g,15,None,20.3,INDICA,Nature's Heritage,"CREATIVE,ENERGETIC,FOCUSED,HAPPY,INSPIRED",25
2023/01/14 21:47:07,Preroll-Dionysus Blunt .5g,10,0.1,24,SATIVA,Southie Adams,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",14
2023/01/14 21:47:07,Papi Sweet Sluggers-Lava Cake #11 Blunt 1g,18,0.1,29.3,HYBRID,Papi Sweet Sluggers,"CALM,HAPPY,RELAXED,ENERGETIC",2
2023/01/14 21:47:07,Blunt-Hazelnut Cream #11 1g,18,0.08,26.3,SATIVA,Papi Sweet Sluggers,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",7
2023/01/14 21:47:07,Infused Preroll w/Bubble Hash-Lamb's Bread .5g 2pk,35,None,38.61,SATIVA,Nature's Heritage,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",1
2023/01/14 21:47:07,Pre-Roll-Hash Plant #1 1g,15,None,24.85,INDICA,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",25
2023/01/14 21:47:07,Pre-Roll-Local Skunk 1g,15,None,28.44,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:07,Infused Pre-Roll-Snowball X Chocolatina 1g,30,None,30.74,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",15
2023/01/14 21:47:07,Pre-Roll-White Knuckles 1g,14,None,23.93,INDICA,Mayflower,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:07,Pre-Roll-Cookies N' Cream 1g,14,None,21.23,HYBRID,Mayflower,"CALM,HAPPY,RELAXED,ENERGETIC",21
